Epoch,Batch Time,Data Time,Loss,Prec@1,Prec@5,lr
111,0.595,0.516,0.18092,93.911,100.0,0.001
112,0.596,0.517,0.15937,95.082,100.0,0.001
113,0.589,0.51,0.12797,96.0187,100.0,0.001
114,0.592,0.514,0.15916,95.5504,100.0,0.001
115,0.585,0.506,0.14049,94.1452,100.0,0.001
116,0.59,0.509,0.16367,94.3794,99.7658,0.001
117,0.591,0.511,0.1644,94.3794,100.0,0.001
118,0.582,0.503,0.1595,93.2084,100.0,0.001
119,0.59,0.511,0.1908,94.6136,100.0,0.001
120,0.588,0.502,0.19682,92.74,100.0,0.001
121,0.584,0.504,0.12969,95.5504,100.0,0.001
122,0.588,0.51,0.14751,95.7845,100.0,0.001
123,0.587,0.508,0.1616,95.082,100.0,0.001
124,0.581,0.503,0.14252,94.8478,100.0,0.001
125,0.581,0.502,0.17,95.5504,100.0,0.001
126,0.588,0.509,0.1619,93.4426,100.0,0.001
127,0.58,0.503,0.16597,95.3162,100.0,0.001
128,0.582,0.503,0.14452,94.8478,100.0,0.001
129,0.594,0.515,0.13127,95.5504,100.0,0.001
130,0.582,0.503,0.1428,96.0187,100.0,0.001
131,0.574,0.496,0.11542,96.0187,100.0,0.001
132,0.582,0.503,0.12269,96.0187,100.0,0.001
133,0.584,0.505,0.13999,95.3162,100.0,0.001
134,0.58,0.5,0.13726,95.3162,100.0,0.001
135,0.58,0.5,0.12006,95.7845,100.0,0.001
136,0.591,0.512,0.12766,96.2529,100.0,0.001
137,0.582,0.501,0.10623,96.4871,100.0,0.001
138,0.585,0.506,0.11085,96.2529,100.0,0.001
139,0.581,0.504,0.13511,95.7845,100.0,0.001
140,0.579,0.5,0.09561,97.6581,100.0,0.001
141,0.595,0.516,0.09746,96.2529,100.0,0.001
142,0.578,0.5,0.13364,96.0187,100.0,0.001
143,0.581,0.502,0.13368,96.4871,100.0,0.001
144,0.584,0.506,0.09697,96.9555,100.0,0.001
145,0.581,0.503,0.11505,96.4871,100.0,0.001
146,0.591,0.511,0.10302,95.7845,100.0,0.001
147,0.58,0.501,0.09275,97.1897,100.0,0.001
148,0.578,0.499,0.14585,94.6136,100.0,0.001
149,0.593,0.514,0.11068,96.4871,100.0,0.001
150,0.581,0.503,0.13595,94.8478,100.0,0.001
151,0.58,0.501,0.06704,98.1265,100.0,0.001
152,0.585,0.507,0.07674,96.9555,100.0,0.001
153,0.58,0.503,0.09686,96.7213,100.0,0.001
154,0.592,0.515,0.09747,97.4239,100.0,0.001
155,0.583,0.504,0.12144,96.9555,100.0,0.001
156,0.58,0.501,0.06296,98.1265,100.0,0.001
157,0.587,0.507,0.09465,96.9555,100.0,0.001
158,0.583,0.506,0.12653,95.7845,99.7658,0.001
159,0.586,0.504,0.10428,97.1897,100.0,0.001
160,0.584,0.506,0.07982,97.8923,100.0,0.001
161,0.582,0.503,0.07571,98.1265,100.0,0.001
162,0.591,0.512,0.06256,98.5948,100.0,0.001
163,0.587,0.508,0.12604,96.0187,100.0,0.001
164,0.578,0.5,0.08461,98.1265,100.0,0.001
165,0.59,0.513,0.09341,96.9555,100.0,0.001
166,0.581,0.503,0.09103,96.9555,100.0,0.001
167,0.596,0.516,0.04936,98.3607,100.0,0.001
168,0.586,0.507,0.08688,96.9555,100.0,0.001
169,0.585,0.507,0.09913,97.1897,100.0,0.001
170,0.585,0.508,0.08056,96.9555,100.0,0.001
171,0.586,0.509,0.05875,98.3607,100.0,0.001
172,0.586,0.507,0.08182,97.1897,100.0,0.001
173,0.578,0.501,0.09786,96.7213,100.0,0.001
174,0.576,0.497,0.07718,97.4239,100.0,0.001
175,0.586,0.508,0.0986,97.4239,100.0,0.001
176,0.581,0.501,0.08861,97.4239,100.0,0.001
177,0.58,0.503,0.07851,97.4239,100.0,0.001
178,0.588,0.509,0.06481,98.1265,100.0,0.001
179,0.586,0.507,0.09371,97.4239,100.0,0.001
180,0.574,0.495,0.0655,97.8923,100.0,0.001
181,0.585,0.508,0.09957,95.5504,100.0,0.001
182,0.576,0.497,0.10614,96.7213,100.0,0.001
183,0.578,0.501,0.1172,96.9555,100.0,0.001
184,0.577,0.498,0.07961,97.8923,100.0,0.001
185,0.576,0.498,0.09265,96.2529,100.0,0.001
186,0.585,0.507,0.06309,98.1265,100.0,0.001
187,0.58,0.501,0.06418,97.8923,100.0,0.001
188,0.579,0.501,0.10283,96.7213,100.0,0.001
189,0.577,0.499,0.06649,98.1265,100.0,0.001
190,0.579,0.499,0.08616,96.9555,100.0,0.001
191,0.58,0.501,0.05921,97.8923,100.0,0.001
192,0.586,0.505,0.07232,98.3607,100.0,0.001
193,0.576,0.499,0.06283,97.6581,100.0,0.001
194,0.577,0.5,0.06691,97.8923,100.0,0.001
195,0.585,0.501,0.0546,98.3607,100.0,0.001
196,0.575,0.496,0.05687,98.5948,100.0,0.001
197,0.586,0.507,0.06757,97.6581,100.0,0.001
198,0.578,0.501,0.05195,98.3607,100.0,0.001
199,0.589,0.51,0.07946,96.9555,100.0,0.001
200,0.581,0.501,0.08534,96.7213,100.0,0.001
201,0.58,0.502,0.04301,99.0632,100.0,0.001
202,0.585,0.506,0.09647,97.1897,100.0,0.001
203,0.579,0.501,0.07361,97.6581,100.0,0.001
204,0.578,0.5,0.0432,98.829,100.0,0.001
205,0.588,0.508,0.06499,97.8923,100.0,0.001
206,0.579,0.501,0.06002,98.3607,100.0,0.001
207,0.575,0.497,0.07514,97.4239,100.0,0.001
208,0.581,0.504,0.06899,97.6581,100.0,0.001
209,0.586,0.507,0.08076,96.9555,100.0,0.001
210,0.599,0.519,0.08577,96.9555,100.0,0.001
211,0.587,0.509,0.06799,97.6581,100.0,0.001
212,0.579,0.499,0.06184,97.8923,100.0,0.001
213,0.584,0.507,0.04367,98.5948,100.0,0.001
214,0.585,0.508,0.04011,99.0632,100.0,0.001
215,0.593,0.515,0.02189,99.7658,100.0,0.001
216,0.59,0.511,0.06613,97.6581,100.0,0.001
217,0.582,0.504,0.04967,97.8923,100.0,0.001
218,0.591,0.508,0.07247,97.4239,100.0,0.001
219,0.579,0.498,0.0366,98.3607,100.0,0.001
220,0.591,0.512,0.0332,99.0632,100.0,0.001
221,0.592,0.515,0.04874,98.3607,100.0,0.001
222,0.584,0.504,0.06414,98.1265,100.0,0.001
223,0.583,0.505,0.06414,97.8923,100.0,0.001
224,0.593,0.514,0.04523,98.5948,100.0,0.001
225,0.585,0.507,0.06825,97.6581,100.0,0.001
226,0.588,0.511,0.05591,98.1265,100.0,0.001
227,0.589,0.51,0.04117,98.5948,100.0,0.001
228,0.584,0.507,0.0389,98.5948,100.0,0.001
229,0.585,0.506,0.0703,97.8923,100.0,0.001
230,0.602,0.518,0.0588,98.1265,100.0,0.001
231,0.578,0.501,0.04241,98.829,100.0,0.001
232,0.583,0.505,0.06394,97.4239,100.0,0.001
233,0.584,0.503,0.04818,97.8923,100.0,0.001
234,0.59,0.509,0.0285,99.2974,100.0,0.001
235,0.586,0.507,0.03222,99.2974,100.0,0.001
236,0.588,0.508,0.03472,98.5948,100.0,0.001
237,0.588,0.51,0.05741,97.8923,100.0,0.001
238,0.586,0.506,0.04538,98.3607,100.0,0.001
239,0.586,0.506,0.0581,97.8923,100.0,0.001
240,0.598,0.518,0.04844,99.0632,100.0,0.001
241,0.581,0.501,0.04674,98.829,100.0,0.001
242,0.588,0.51,0.07816,97.4239,100.0,0.001
243,0.588,0.508,0.04112,98.3607,100.0,0.001
244,0.584,0.505,0.04268,98.1265,100.0,0.001
245,0.589,0.511,0.05276,98.1265,100.0,0.001
246,0.579,0.502,0.03677,98.5948,100.0,0.001
247,0.584,0.506,0.04855,98.5948,100.0,0.001
248,0.599,0.519,0.03038,99.2974,100.0,0.001
249,0.585,0.507,0.04513,98.829,100.0,0.001
250,0.585,0.507,0.03759,99.0632,100.0,0.001
251,0.59,0.51,0.06827,97.6581,100.0,0.001
252,0.598,0.518,0.06608,98.5948,100.0,0.001
253,0.584,0.507,0.04511,97.8923,100.0,0.001
254,0.6,0.52,0.04607,98.829,100.0,0.001
255,0.6,0.522,0.03215,98.5948,100.0,0.001
256,0.59,0.513,0.04781,98.1265,100.0,0.001
257,0.581,0.503,0.07865,97.1897,100.0,0.001
258,0.578,0.5,0.06227,98.1265,100.0,0.001
259,0.587,0.51,0.03924,98.829,100.0,0.001
260,0.581,0.501,0.06469,98.5948,100.0,0.001
261,0.585,0.506,0.05976,97.8923,100.0,0.001
262,0.589,0.51,0.05331,98.5948,100.0,0.001
263,0.583,0.503,0.05982,97.6581,100.0,0.001
264,0.584,0.503,0.03229,99.2974,100.0,0.001
265,0.592,0.514,0.06567,97.4239,100.0,0.001
266,0.575,0.497,0.03201,99.0632,100.0,0.001
267,0.577,0.496,0.05075,97.8923,100.0,0.001
268,0.578,0.5,0.03667,99.2974,100.0,0.001
269,0.585,0.507,0.04193,98.829,100.0,0.001
270,0.589,0.51,0.03547,98.829,100.0,0.001
271,0.579,0.5,0.02583,99.2974,100.0,0.001
272,0.585,0.5,0.05082,98.829,100.0,0.001
273,0.574,0.496,0.03578,99.0632,100.0,0.001
274,0.574,0.496,0.02279,99.7658,100.0,0.001
275,0.585,0.506,0.01346,99.7658,100.0,0.001
276,0.586,0.508,0.05069,98.3607,100.0,0.001
277,0.579,0.5,0.03626,99.0632,100.0,0.001
278,0.585,0.509,0.04469,98.3607,100.0,0.001
279,0.584,0.506,0.04929,98.5948,100.0,0.001
280,0.582,0.503,0.03472,98.3607,100.0,0.001
281,0.588,0.509,0.04136,98.5948,100.0,0.001
282,0.579,0.502,0.0267,99.7658,100.0,0.001
283,0.58,0.502,0.01676,99.5316,100.0,0.001
284,0.597,0.516,0.02704,98.5948,100.0,0.001
285,0.586,0.507,0.02071,99.5316,100.0,0.001
286,0.583,0.503,0.04317,98.829,99.7658,0.001
287,0.583,0.503,0.05835,98.1265,100.0,0.001
288,0.586,0.505,0.059,98.3607,100.0,0.001
289,0.582,0.501,0.07495,97.6581,100.0,0.001
290,0.58,0.5,0.04824,98.829,100.0,0.001
291,0.58,0.502,0.05181,98.3607,100.0,0.001
292,0.581,0.5,0.05647,98.1265,100.0,0.001
293,0.581,0.503,0.02479,99.2974,100.0,0.001
294,0.587,0.508,0.05474,98.3607,100.0,0.001
295,0.583,0.504,0.02763,99.0632,100.0,0.001
296,0.584,0.506,0.02218,99.7658,100.0,0.001
297,0.586,0.505,0.03344,99.0632,100.0,0.001
298,0.583,0.504,0.02382,99.2974,100.0,0.001
299,0.588,0.509,0.02807,99.2974,100.0,0.001
300,0.579,0.501,0.02887,98.829,100.0,0.001
301,0.579,0.5,0.01576,99.7658,100.0,0.001
302,0.585,0.506,0.02213,99.5316,100.0,0.001
303,0.588,0.507,0.02918,98.5948,100.0,0.001
304,0.598,0.52,0.04332,98.1265,100.0,0.001
305,0.584,0.503,0.02874,99.0632,100.0,0.001
306,0.59,0.511,0.02671,99.0632,100.0,0.001
307,0.576,0.498,0.02738,99.0632,100.0,0.001
308,0.582,0.502,0.04266,99.0632,100.0,0.001
309,0.579,0.5,0.04689,98.829,100.0,0.001
310,0.588,0.508,0.01728,99.7658,100.0,0.001
311,0.583,0.505,0.00913,100.0,100.0,0.001
312,0.582,0.503,0.02509,99.0632,100.0,0.001
313,0.584,0.506,0.02786,99.2974,100.0,0.001
314,0.587,0.508,0.02368,99.0632,100.0,0.001
315,0.588,0.51,0.03277,99.2974,100.0,0.001
316,0.593,0.511,0.02746,98.3607,100.0,0.001
317,0.549,0.473,0.03061,98.829,100.0,0.001
318,0.59,0.512,0.02502,99.5316,100.0,0.001
319,0.584,0.506,0.01634,99.5316,100.0,0.001
320,0.591,0.511,0.03423,98.5948,100.0,0.001
321,0.582,0.503,0.03211,99.2974,100.0,0.001
322,0.583,0.505,0.03701,98.1265,100.0,0.001
